As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Anomaly,Comments
2023-09-30,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,45950,45609,341,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,10646,9892,754,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,29236,28710,526,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34629,34914,-285,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,41936,41399,537,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,27874,27841,33,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,34432,34432,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,26331,26331,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,21076,21076,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,28574,28574,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,18423,18423,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,21903,21903,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,28041,28041,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,34673,34673,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,36427,36427,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,36896,36896,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,25586,25586,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,21595,21595,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,32111,32111,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,35306,35306,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,26920,26920,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34784,34784,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,44420,44420,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,38368,51618,-13250,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17533,17533,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20229,20229,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,21673,21673,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,35572,35572,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,12907,12907,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,27046,37591,-10545,break,Yes,Huge spike in outstanding balances
2023-09-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,10842,10760,82,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,48341,49336,-995,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,13200,13050,150,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,46992,46833,159,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,41037,41196,-159,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,41192,41451,-259,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,21569,21569,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,12145,12145,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,22973,22973,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,25993,25993,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,25072,25072,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,49714,49714,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,41980,41980,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,23912,23912,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,28933,28933,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,18949,18949,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,48479,48479,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,36055,36055,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,23919,23919,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,31208,31208,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,25791,25791,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15766,15766,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,27545,27545,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15536,22500,-6964,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,21097,20536,561,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,36510,36657,-147,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,28026,27574,452,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,40079,40079,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,24474,25068,-594,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,21033,20888,145,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,45064,45064,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15758,15758,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48673,48673,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37124,37124,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,38027,38027,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,35425,35425,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1623456,5402,EUR,ALL OTHER LOANS,PRINCIPAL,10442,10442,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,5402,EUR,ALL OTHER LOANS,PRINCIPAL,25651,25651,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,5402,EUR,ALL OTHER LOANS,PRINCIPAL,17932,17932,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,5402,EUR,ALL OTHER LOANS,PRINCIPAL,18013,18013,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,5402,EUR,ALL OTHER LOANS,PRINCIPAL,40430,40430,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,5402,EUR,ALL OTHER LOANS,PRINCIPAL,34597,34597,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15086,15086,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,11205,11205,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30979,30979,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,33738,33738,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,22435,22435,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,33604,33604,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,32663,32663,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,46599,46599,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48899,48899,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18640,18640,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17457,17457,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,11827,11827,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,39939,39770,169,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,1111,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,12526,11909,617,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,1111,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,39691,40411,-720,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,1111,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15851,15696,155,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,1111,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,31606,31925,-319,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,1111,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,44181,44794,-613,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,47533,47726,-193,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,44128,43556,572,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,13573,13362,211,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,25583,24798,785,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,22112,22772,-660,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,1111,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,40588,41243,-655,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,25751,25751,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34362,34362,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,31524,31524,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16384,16384,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,38040,38040,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,42678,42678,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,13402,13402,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,15379,15379,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,21989,21989,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,40855,40855,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,23447,23447,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,22959,22959,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28376,28988,-612,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,1111,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,26827,26495,332,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,1111,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,38595,37706,889,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,1111,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,40090,40847,-757,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,1111,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,35174,34626,548,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,1111,1619205,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,46170,45543,627,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,1111,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28718,27800,918,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,1111,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,12150,12920,-770,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,1111,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,14712,13869,843,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,1111,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,44263,45256,-993,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,1111,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,43536,44220,-684,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,1111,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17547,18472,-925,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,43145,43145,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,10119,10119,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,49204,49204,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,37495,37495,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,31170,31170,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,12851,22389,-9538,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,28643,28643,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,43345,43345,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,46079,46079,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,46675,46675,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,46613,46613,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,45947,45947,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28912,28912,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,10765,10765,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30415,30415,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,14329,14329,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37900,37900,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49856,44387,5469,break,Yes,Sudden drop in IHub balance
2023-09-30,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,48539,48539,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,48770,48770,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,46825,46825,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,12321,12321,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,31713,31713,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,33151,24636,8515,break,Yes,Sudden drop in IHub balance
2023-09-30,0000,1619205,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34223,33488,735,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,0000,1619205,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48074,48752,-678,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,0000,1619205,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,47071,47190,-119,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,0000,1619205,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28608,28497,111,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,0000,1619205,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15622,15929,-307,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,0000,1619205,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34886,34085,801,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,19519,19519,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,42782,42782,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,31133,31133,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,43419,43419,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,15526,15526,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,30388,44634,-14246,break,Yes,Huge spike in outstanding balances
2023-09-30,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,43783,43783,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,10787,10787,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,23464,23464,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,44068,44068,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,34408,34408,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,13368,13368,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,21449,21449,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,29363,29363,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,36143,36143,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30949,30949,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,39073,39073,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,24466,24466,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,15177,15021,156,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,1111,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,47488,47540,-52,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,1111,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,31294,31007,287,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,1111,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,30914,31697,-783,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,1111,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,44155,44578,-423,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,1111,1623456,4398,EUR,ALL OTHER LOANS,PRINCIPAL,34480,34416,64,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,39712,39712,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,25122,25122,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,32511,32511,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,26900,26900,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,28721,28721,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,22161,22161,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,11425,11425,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,14762,14762,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,19500,19500,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,12083,12083,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,26338,26338,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,35556,35556,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,44498,44498,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,29897,29897,0,match,No,Outstanding balances are in line with previous months
